Nama;Kategori;Lantai
AEON BSD CITY Dept Store 1F;FASHION;1F
Birkenstock ;FASHION;1F
Bobo Tokyo;FASHION;1F
Charles & Keith ;FASHION;1F
Et Cetera ;FASHION;1F
Everbest;FASHION;1F
Giordano;FASHION;1F
H&M;FASHION;1F
Hush Puppies ;FASHION;1F
Laxmi Tailor ;FASHION;1F
Levi's ;FASHION;1F
Love  Bonito;FASHION;1F
Melissa ;FASHION;1F
New Era ;FASHION;1F
Pedro;FASHION;1F
Polo;FASHION;1F
Staccato;FASHION;1F
The Athlete's Foot;FASHION;1F
The Executive  ;FASHION;1F
UNIQLO ;FASHION;1F
Wood ;FASHION;1F
Koi Cafe ;FOOD;1F
Kopi Kenangan;FOOD;1F
Beauty Haul;GOODS;1F
Casio ;GOODS;1F
COWAY;GOODS;1F
Daniel Wellington ;GOODS;1F
Dparis;GOODS;1F
Eyes Spice;GOODS;1F
Fitflop;GOODS;1F
Havaianas;GOODS;1F
Optik Melawai ;GOODS;1F
Optik Seis ;GOODS;1F
Royal Gold;GOODS;1F
Samsonite;GOODS;1F
Saturdays;GOODS;1F
Urban Icon ;GOODS;1F
Wardah;GOODS;1F
Ginza Nail ;SERVICE;1F
Smart Hand DIY;ENTERTAINMENT;2F
AEON BSD CITY Dept Store 2F;FASHION;2F
Bateeq ;FASHION;2F
Buttonscarves;FASHION;2F
Coolkids;FASHION;2F
Eprise ;FASHION;2F
Essentials;FASHION;2F
Little X Eight ;FASHION;2F
Max Fashions;FASHION;2F
Minoshe;FASHION;2F
Mooimom;FASHION;2F
Mothercare & Early Learning Center;FASHION;2F
Nathalie Kids;FASHION;2F
OshKosh & B'gosh;FASHION;2F
Payless;FASHION;2F
Wacoal ;FASHION;2F
Yayang;FASHION;2F
Yuan Market;FASHION;2F
Bakmi GM ;FOOD;2F
D'Crepes ;FOOD;2F
Di Bawah Tangga;FOOD;2F
Puyo;FOOD;2F
Cindy ;GOODS;2F
Daiso Japan ;GOODS;2F
Gramedia ;GOODS;2F
GS Shop ;GOODS;2F
Kids & Beyond;GOODS;2F
Kidz Station ;GOODS;2F
Lock & Lock with Hello  Bebe ;GOODS;2F
Miniso;GOODS;2F
OWL Eyewear;GOODS;2F
Scandia;GOODS;2F
Toys City ;GOODS;2F
Haircode ;SERVICE;2F
Headquarters ;SERVICE;2F
Ixobox ;SERVICE;2F
Kiddycuts ;SERVICE;2F
Lash Inc ;SERVICE;2F
Shortcut Barbershop;SERVICE;2F
Zoomoov;SERVICE;2F
Amazone ;ENTERTAINMENT;3F
Cinema XXI ;ENTERTAINMENT;3F
Playtopia;ENTERTAINMENT;3F
Bakmi Ayam Alok ;FOOD;3F
Bakso Malang Igaku;FOOD;3F
Baskin Robbins ;FOOD;3F
Bultteok;FOOD;3F
Burger King;FOOD;3F
Dear Butter;FOOD;3F
Dirnosaurus;FOOD;3F
Fruitylicious;FOOD;3F
Guldens Mice;FOOD;3F
Hey! Kafe;FOOD;3F
Ice Gentong ;FOOD;3F
Ichiro ;FOOD;3F
Iga Bakar Lombok;FOOD;3F
Ikkudo Ichi;FOOD;3F
Imperial Kitchen ;FOOD;3F
K-Somsa Cotton Candy;FOOD;3F
KFC ;FOOD;3F
Kwetiaw 28 AHO ;FOOD;3F
Masti Indian;FOOD;3F
McDonald's;FOOD;3F
Men Men Ramen;FOOD;3F
Menya Sakura;FOOD;3F
Miss Thai Boat Noodle;FOOD;3F
Mo-Guri;FOOD;3F
Nasi Kapau Juragan;FOOD;3F
Noodle King ;FOOD;3F
Ow My Plate;FOOD;3F
Pika Piku Ice Cream;FOOD;3F
Pocoyo;FOOD;3F
Potato Corner ;FOOD;3F
Raja Se'i;FOOD;3F
Ramen Seirock-ya;FOOD;3F
REJUVE ;FOOD;3F
Rujak Kolam Medan ;FOOD;3F
Sate Dombud;FOOD;3F
Sate Padang Mak Syukur ;FOOD;3F
Shu Shu ;FOOD;3F
Simply ;FOOD;3F
Sinar Garut 27;FOOD;3F
Solaria;FOOD;3F
Sop Konro Cendana;FOOD;3F
Soto Betawi H. Mamat ;FOOD;3F
Soto Mie Pak Kadir;FOOD;3F
Sour Sally;FOOD;3F
Steak 21 ;FOOD;3F
Sukiya;FOOD;3F
Supermedan;FOOD;3F
Tahu Eazy;FOOD;3F
Tawan;FOOD;3F
Tumbas Mawon;FOOD;3F
Wingstop ;FOOD;3F
YEN PAO ;FOOD;3F
Ace ;GOODS;3F
De'Sound ;GOODS;3F
Erafone;GOODS;3F
Huawei;GOODS;3F
Klik n Klik;GOODS;3F
Loly Poly;GOODS;3F
Mi Home ;GOODS;3F
Samsung;GOODS;3F
ATM CENTER (3F);SERVICE;3F
Dwidaya Tour ;SERVICE;3F
Tokyo Belle;SERVICE;3F
Burger King;FOOD;3MF
KFC ;FOOD;3MF
Noodle King ;FOOD;3MF
Kokuo Reflexology ;SERVICE;3MF
Nuansa Musik;SERVICE;3MF
Adidas ;FASHION;GF
Bonia (Pop Up Store);FASHION;GF
Guess;FASHION;GF
Le Coq ;FASHION;GF
Nike ;FASHION;GF
Planet Sports. Asia;FASHION;GF
Skechers;FASHION;GF
AEON BSD CITY Supermarket GF;FOOD;GF
Auntie Anne's ;FOOD;GF
Ban ban;FOOD;GF
Beard Papa ;FOOD;GF
Boost Juice;FOOD;GF
Bugatea;FOOD;GF
Châteraisé;FOOD;GF
Chatime ;FOOD;GF
Cold Stone ;FOOD;GF
Dapur Solo ;FOOD;GF
Doner Kebab ;FOOD;GF
Eatlah ;FOOD;GF
Famous Amos & DG Chocolate Gallery  ;FOOD;GF
Gokkana Teppan;FOOD;GF
Golden Lamian ;FOOD;GF
Greenology;FOOD;GF
Gyukaku;FOOD;GF
Haagen-Dazs ;FOOD;GF
Hot Piece;FOOD;GF
Kopi Janji Jiwa;FOOD;GF
Krispy Kreme ;FOOD;GF
Liang Crispy Roll;FOOD;GF
Lokal Kopi;FOOD;GF
Lukumades;FOOD;GF
Maison Tatsuya ;FOOD;GF
Manggang;FOOD;GF
Nanny's Pavillon;FOOD;GF
One Zo;FOOD;GF
Ootoya ;FOOD;GF
Panella De Chao;FOOD;GF
Pepperlunch;FOOD;GF
Pizza Marzano ;FOOD;GF
Popolamama;FOOD;GF
Shabu Shabu On-Yasai;FOOD;GF
Shihlin Taiwan Street Snacks ;FOOD;GF
Social Affair;FOOD;GF
Starbucks Coffee ;FOOD;GF
Thai I Love You;FOOD;GF
Tori - Yo;FOOD;GF
Tous Les Jours;FOOD;GF
Uchino Shokudo;FOOD;GF
Yole;FOOD;GF
Yomie's Rice X Yogurt;FOOD;GF
Yoshinoya;FOOD;GF
Zenbu ;FOOD;GF
Bath & Body Works;GOODS;GF
Beauty Scent;GOODS;GF
C&F perfumery ;GOODS;GF
Digimap;GOODS;GF
Eka Karya Orchid ;GOODS;GF
Erha Store;GOODS;GF
Frank & Co;GOODS;GF
Guardian ;GOODS;GF
Innisfree;GOODS;GF
L'Occitane ;GOODS;GF
Posh Jewelry;GOODS;GF
Relx;GOODS;GF
Sociolla;GOODS;GF
The Body Shop;GOODS;GF
The Face Shop;GOODS;GF
The SAEM ;GOODS;GF
Urban Life;GOODS;GF
Victoria Secret;GOODS;GF
Yves Rocher;GOODS;GF
AEON Credit Service ;SERVICE;GF
ATM CENTER (GF);SERVICE;GF
Autobacs;SERVICE;GF
Bank Mandiri;SERVICE;GF
BCA ;SERVICE;GF
BNI  ;SERVICE;GF
BRANZ (Property);SERVICE;GF
CIMB Niaga Digital Lounge ;SERVICE;GF
De Wasz Laundry ;SERVICE;GF
Midas Xchange ;SERVICE;GF
Stop n Go ;SERVICE;GF
